"filename", "language", "Python", "pip requirements", "Markdown", "comment", "blank", "total"
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\README.md", "Markdown", 0, 0, 8, 0, 2, 10
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\inliner.py", "Python", 105, 0, 0, 11, 37, 153
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\main.py", "Python", 94, 0, 0, 24, 28, 146
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\oj.py", "Python", 25, 0, 0, 16, 12, 53
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\requirements.txt", "pip requirements", 0, 0, 0, 0, 1, 1
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\cli.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\data\README.md", "Markdown", 0, 0, 113, 0, 33, 146
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\data\executor.py", "Python", 139, 0, 0, 83, 46, 268
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\data\parser.py", "Python", 108, 0, 0, 17, 26, 151
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\data\router.py", "Python", 45, 0, 0, 27, 14, 86
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\data\summarizer.py", "Python", 145, 0, 0, 47, 43, 235
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\precurated\README.md", "Markdown", 0, 0, 24, 0, 9, 33
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\precurated\curater_solomon.py", "Python", 195, 0, 0, 57, 58, 310
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\precurated\curater_vrplib.py", "Python", 288, 0, 0, 77, 85, 450
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\precurated\utils.py", "Python", 52, 0, 0, 14, 14, 80
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\problem.py", "Python", 185, 0, 0, 12, 41, 238
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\solution.py", "Python", 323, 0, 0, 87, 107, 517
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\solvers\algo\Algo.py", "Python", 73, 0, 0, 63, 28, 164
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\solvers\algo\bnb.py", "Python", 253, 0, 0, 96, 94, 443
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\solvers\algo\exhaustive.py", "Python", 252, 0, 0, 106, 83, 441
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\solvers\algo\greedy.py", "Python", 141, 0, 0, 65, 41, 247
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\solvers\learner\Learner.py", "Python", 54, 0, 0, 87, 18, 159
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\solvers\operator\Operator.py", "Python", 15, 0, 0, 24, 7, 46
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\solvers\operator\build.py", "Python", 41, 0, 0, 7, 17, 65
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\solvers\operator\destroy.py", "Python", 77, 0, 0, 36, 28, 141
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\solvers\operator\nearest.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\solvers\operator\relocate.py", "Python", 1, 0, 0, 0, 1, 2
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\solvers\operator\swap.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\solvers\policy\Policy.py", "Python", 31, 0, 0, 52, 14, 97
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\solvers\utils\sampler.py", "Python", 16, 0, 0, 7, 5, 28
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\solvers\utils\weighter.py", "Python", 11, 0, 0, 8, 8, 27
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\tests\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\tests\test_branch_bound.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\tests\test_brute_force.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\tests\test_greedy.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\tests\test_problem.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\utils\__init__.py", "Python", 0, 0, 0, 0, 1, 1
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\utils\generator.py", "Python", 104, 0, 0, 28, 28, 160
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\share_a_ride\utils\helper.py", "Python", 16, 0, 0, 1, 7, 24
"c:\Users\admin\OS_project\root\main\pp big\People-and-Parcel-Share-a-Night\submission.py", "Python", 766, 0, 0, 286, 276, 1328
"Total", "-", 3555, 0, 145, 1338, 1222, 6260
