instance,num_attempts,successful_attempts,best_cost,best_attempt_id,best_timestamp,best_solver,best_solver_args,best_solver_hyperparams,best_time_taken,cost_improvement,percentage_improvement,notes
Exact-n1-m1-k1,2,2,276.0,1,2025-10-16T07:44:20+00:00,Exhaustive,{'time_limit': '60.0'},{},0.0,0.0,0.0,
Exact-n1-m1-k2,2,2,154.0,2,2025-10-16T07:44:20+00:00,Exhaustive,{'time_limit': '60.0'},{},0.0,0.0,0.0,
Exact-n1-m2-k1,2,2,256.0,3,2025-10-16T07:44:20+00:00,Exhaustive,{'time_limit': '60.0'},{},0.0036220550537109375,0.0,0.0,
Exact-n1-m2-k2,2,2,172.0,4,2025-10-16T07:44:20+00:00,Exhaustive,{'time_limit': '60.0'},{},0.012894392013549805,0.0,0.0,
Exact-n1-m3-k1,2,2,403.0,5,2025-10-16T07:44:20+00:00,Exhaustive,{'time_limit': '60.0'},{},0.05219221115112305,0.0,0.0,
Exact-n1-m3-k2,2,2,135.0,6,2025-10-16T07:44:20+00:00,Exhaustive,{'time_limit': '60.0'},{},0.1149134635925293,0.0,0.0,
Exact-n1-m4-k1,2,2,407.0,7,2025-10-16T07:44:20+00:00,Exhaustive,{'time_limit': '60.0'},{},0.15642309188842773,0.0,0.0,
Exact-n1-m4-k2,2,2,199.0,8,2025-10-16T07:44:21+00:00,Exhaustive,{'time_limit': '60.0'},{},0.43593287467956543,0.0,0.0,
Exact-n2-m1-k1,2,2,253.0,9,2025-10-16T07:44:21+00:00,Exhaustive,{'time_limit': '60.0'},{},0.0,0.0,0.0,
Exact-n2-m1-k2,2,2,138.0,10,2025-10-16T07:44:21+00:00,Exhaustive,{'time_limit': '60.0'},{},0.004021644592285156,0.0,0.0,
Exact-n2-m2-k1,2,2,294.0,11,2025-10-16T07:44:21+00:00,Exhaustive,{'time_limit': '60.0'},{},0.03105449676513672,0.0,0.0,
Exact-n2-m2-k2,2,2,201.0,12,2025-10-16T07:44:21+00:00,Exhaustive,{'time_limit': '60.0'},{},0.0174257755279541,0.0,0.0,
Exact-n2-m3-k1,2,2,293.0,13,2025-10-16T07:44:21+00:00,Exhaustive,{'time_limit': '60.0'},{},0.07989668846130371,0.0,0.0,
Exact-n2-m3-k2,2,2,222.0,14,2025-10-16T07:44:21+00:00,Exhaustive,{'time_limit': '60.0'},{},0.19588804244995117,0.0,0.0,
Exact-n2-m4-k1,2,2,342.0,15,2025-10-16T07:44:22+00:00,Exhaustive,{'time_limit': '60.0'},{},1.616544485092163,0.0,0.0,
Exact-n2-m4-k2,2,2,306.0,16,2025-10-16T07:44:23+00:00,Exhaustive,{'time_limit': '60.0'},{},0.9501261711120605,0.0,0.0,
Exact-n3-m1-k1,2,2,348.0,17,2025-10-16T07:44:24+00:00,Exhaustive,{'time_limit': '60.0'},{},0.0015087127685546875,0.0,0.0,
Exact-n3-m1-k2,2,2,192.0,18,2025-10-16T07:44:24+00:00,Exhaustive,{'time_limit': '60.0'},{},0.0076143741607666016,0.0,0.0,
Exact-n3-m2-k1,2,2,397.0,19,2025-10-16T07:44:24+00:00,Exhaustive,{'time_limit': '60.0'},{},0.025244951248168945,0.0,0.0,
Exact-n3-m2-k2,2,2,172.0,20,2025-10-16T07:44:24+00:00,Exhaustive,{'time_limit': '60.0'},{},0.16307497024536133,0.0,0.0,
Exact-n3-m3-k1,2,2,603.0,21,2025-10-16T07:44:25+00:00,Exhaustive,{'time_limit': '60.0'},{},0.3574051856994629,0.0,0.0,
Exact-n3-m3-k2,2,2,255.0,22,2025-10-16T07:44:25+00:00,Exhaustive,{'time_limit': '60.0'},{},0.7998709678649902,0.0,0.0,
Exact-n3-m4-k1,2,1,396.0,47,2025-10-16T07:46:52+00:00,Branch and Bound,{'time_limit': '10.0'},{},0.8210251331329346,,,
Exact-n3-m4-k2,2,1,306.0,48,2025-10-16T07:46:53+00:00,Branch and Bound,{'time_limit': '10.0'},{},0.873908281326294,,,
