attempt_id,timestamp,dataset,instance,solver,seed,time_limit,hyperparams,status,elapsed_time,cost,info,note
1,2025-10-16T08:28:06+00:00,H,H-n10-m10-k5,Iterative Greedy Balanced,,,{},error,0,,{},'int' object is not iterable
2,2025-10-16T08:28:06+00:00,H,H-n20-m15-k8,Iterative Greedy Balanced,,,{},error,0,,{},'int' object is not iterable
3,2025-10-16T08:28:06+00:00,H,H-n3-m4-k2,Iterative Greedy Balanced,,,{},error,0,,{},'int' object is not iterable
4,2025-10-16T08:28:06+00:00,H,H-n30-m25-k10,Iterative Greedy Balanced,,,{},error,0,,{},'int' object is not iterable
5,2025-10-16T08:28:06+00:00,H,H-n6-m5-k3,Iterative Greedy Balanced,,,{},error,0,,{},'int' object is not iterable
6,2025-10-16T08:29:12+00:00,H,H-n10-m10-k5,Iterative Greedy Balanced,,,{},error,0,,{},'int' object is not iterable
7,2025-10-16T09:00:49+00:00,H,H-n10-m10-k5,Iterative Greedy Balanced,42,10.0,"{""destroy_proba"": 0.5, ""destroy_steps"": 3, ""destroy_T"": 1.0, ""rebuild_proba"": 0.3, ""rebuild_steps"": 1, ""rebuild_T"": 1.0}",done,unknown,430,"{""iterations"": 10000, ""improvements"": 1, ""actions_evaluated"": 153697, ""nodes_destroyed"": 120000, ""nodes_rebuilt"": 17924, ""elapsed_time"": 4.337251663208008}",test attempt
8,2025-10-16T09:09:04+00:00,H,H-n10-m10-k5,Iterative Greedy Balanced,42,10.0,"{""destroy_proba"": 0.5, ""destroy_steps"": 3, ""destroy_T"": 1.0, ""rebuild_proba"": 0.3, ""rebuild_steps"": 1, ""rebuild_T"": 1.0}",done,unknown,437,"{""iterations"": 1, ""improvements"": 0, ""actions_evaluated"": 265, ""nodes_destroyed"": 12, ""nodes_rebuilt"": 4, ""elapsed_time"": 0.005764007568359375}",test attempt
9,2025-10-16T09:11:44+00:00,H,H-n10-m10-k5,Iterative Greedy Balanced,42,10.0,"{""destroy_proba"": 0.5, ""destroy_steps"": 3, ""destroy_T"": 1.0, ""rebuild_proba"": 0.3, ""rebuild_steps"": 1, ""rebuild_T"": 1.0}",done,unknown,437,"{""iterations"": 1, ""improvements"": 0, ""actions_evaluated"": 265, ""nodes_destroyed"": 12, ""nodes_rebuilt"": 4, ""elapsed_time"": 0.007769107818603516}",test attempt
10,2025-10-16T09:15:28+00:00,H,H-n10-m10-k5,Iterative Greedy Balanced,42,10.0,"{""destroy_proba"": 0.5, ""destroy_steps"": 3, ""destroy_T"": 1.0, ""rebuild_proba"": 0.3, ""rebuild_steps"": 1, ""rebuild_T"": 1.0}",done,unknown,437,"{""iterations"": 1, ""improvements"": 0, ""actions_evaluated"": 265, ""nodes_destroyed"": 12, ""nodes_rebuilt"": 4, ""elapsed_time"": 0.023636579513549805}",test attempt
