attempt_id,timestamp,dataset,instance,solver,seed,time_limit,hyperparams,status,elapsed_time,cost,info,note
1,2025-12-23T13:21:45+00:00,Hust,Hust_n10_m10_k2,GREEDY,42,30.0,"{""destroy_proba"": 0.53, ""destroy_steps"": 13, ""destroy_t"": 1.3, ""rebuild_proba"": 0.29, ""rebuild_steps"": 3, ""rebuild_t"": 1.2}",done,3.797144889831543,830,"{""iterations"": 9999, ""actions_done"": 518785, ""improvements"": 8, ""actions_destroyed"": 259377, ""actions_rebuilt"": 17514, ""average_cost"": 1076.3303}",
2,2025-12-23T13:21:49+00:00,Hust,Hust_n3_m3_k2,GREEDY,42,30.0,"{""destroy_proba"": 0.53, ""destroy_steps"": 13, ""destroy_t"": 1.3, ""rebuild_proba"": 0.29, ""rebuild_steps"": 3, ""rebuild_t"": 1.2}",done,1.4895374774932861,54,"{""iterations"": 10000, ""actions_done"": 220011, ""improvements"": 3, ""actions_destroyed"": 110000, ""actions_rebuilt"": 17460, ""average_cost"": 74.87251274872513}",
3,2025-12-23T13:21:51+00:00,Hust,Hust_n5_m5_k2,GREEDY,42,30.0,"{""destroy_proba"": 0.53, ""destroy_steps"": 13, ""destroy_t"": 1.3, ""rebuild_proba"": 0.29, ""rebuild_steps"": 3, ""rebuild_t"": 1.2}",done,1.6673269271850586,357,"{""iterations"": 10000, ""actions_done"": 340017, ""improvements"": 4, ""actions_destroyed"": 170000, ""actions_rebuilt"": 17367, ""average_cost"": 551.7551244875513}",
4,2025-12-23T13:22:09+00:00,Hust,Hust_n10_m10_k2,ACO,42,30.0,"{""n_partials"": 40, ""n_cutoff"": 10, ""width"": 4, ""q_prob"": 0.75, ""alpha"": 1.2, ""beta"": 1.4, ""omega"": 4, ""phi"": 0.5, ""chi"": 1.5, ""gamma"": 0.4, ""kappa"": 2.0, ""sigma"": 10, ""rho"": 0.55}",done,6.536227464675903,761,"{""iterations_completed"": 10, ""best_cost"": 761, ""elitists_count"": 40}",
5,2025-12-23T13:22:16+00:00,Hust,Hust_n3_m3_k2,ACO,42,30.0,"{""n_partials"": 40, ""n_cutoff"": 10, ""width"": 4, ""q_prob"": 0.75, ""alpha"": 1.2, ""beta"": 1.4, ""omega"": 4, ""phi"": 0.5, ""chi"": 1.5, ""gamma"": 0.4, ""kappa"": 2.0, ""sigma"": 10, ""rho"": 0.55}",done,2.6478848457336426,54,"{""iterations_completed"": 10, ""best_cost"": 54, ""elitists_count"": 40}",
6,2025-12-23T13:22:19+00:00,Hust,Hust_n5_m5_k2,ACO,42,30.0,"{""n_partials"": 40, ""n_cutoff"": 10, ""width"": 4, ""q_prob"": 0.75, ""alpha"": 1.2, ""beta"": 1.4, ""omega"": 4, ""phi"": 0.5, ""chi"": 1.5, ""gamma"": 0.4, ""kappa"": 2.0, ""sigma"": 10, ""rho"": 0.55}",done,2.917715549468994,357,"{""iterations_completed"": 10, ""best_cost"": 357, ""elitists_count"": 40}",
7,2025-12-28T10:46:40+00:00,Hust,Hust_n10_m10_k2,ACO,42,240.0,"{""n_partials"": 40, ""n_cutoff"": 10, ""width"": 4, ""q_prob"": 0.72, ""alpha"": 1.36, ""beta"": 1.38, ""omega"": 3, ""phi"": 0.43, ""chi"": 1.77, ""gamma"": 0.4, ""kappa"": 2.34, ""sigma"": 12, ""rho"": 0.62}",done,14.012611627578735,744,"{""iterations"": 40, ""best_cost"": 744, ""elitists_count"": 40}",Test optimality
8,2025-12-28T10:46:54+00:00,Hust,Hust_n3_m3_k2,ACO,42,240.0,"{""n_partials"": 40, ""n_cutoff"": 10, ""width"": 4, ""q_prob"": 0.72, ""alpha"": 1.36, ""beta"": 1.38, ""omega"": 3, ""phi"": 0.43, ""chi"": 1.77, ""gamma"": 0.4, ""kappa"": 2.34, ""sigma"": 12, ""rho"": 0.62}",done,4.510039567947388,54,"{""iterations"": 40, ""best_cost"": 54, ""elitists_count"": 40}",Test optimality
9,2025-12-28T10:46:58+00:00,Hust,Hust_n5_m5_k2,ACO,42,240.0,"{""n_partials"": 40, ""n_cutoff"": 10, ""width"": 4, ""q_prob"": 0.72, ""alpha"": 1.36, ""beta"": 1.38, ""omega"": 3, ""phi"": 0.43, ""chi"": 1.77, ""gamma"": 0.4, ""kappa"": 2.34, ""sigma"": 12, ""rho"": 0.62}",done,7.684428453445435,357,"{""iterations"": 40, ""best_cost"": 357, ""elitists_count"": 40}",Test optimality
10,2025-12-28T10:47:06+00:00,Hust,Hust_n10_m10_k2,ALNS,42,240.0,"{""scores"": [10, 4, 1, 0], ""decay"": 0.8}",done,228.9561686515808,746,"{""destroy_operator_counts"": {""_destroy_3"": [2, 0, 79, 22], ""_destroy_2"": [1, 0, 89, 13], ""_destroy_1"": [2, 0, 109, 8]}, ""repair_operator_counts"": {""_repair_1"": [0, 0, 5, 32], ""_repair_2"": [5, 0, 272, 11]}, ""total_runtime"": 228.52062020000085, ""objectives"": [746.0, 746.0, 746.0, 746.0, 746.0]}",Test optimality
11,2025-12-28T10:51:00+00:00,Hust,Hust_n3_m3_k2,ALNS,42,240.0,"{""scores"": [10, 4, 1, 0], ""decay"": 0.8}",done,228.4326672554016,54,"{""destroy_operator_counts"": {""_destroy_3"": [0, 0, 669, 87], ""_destroy_2"": [0, 0, 742, 90], ""_destroy_1"": [0, 0, 762, 86]}, ""repair_operator_counts"": {""_repair_1"": [0, 0, 1384, 0], ""_repair_2"": [0, 0, 789, 263]}, ""total_runtime"": 228.05652360000022, ""objectives"": [54.0, 54.0, 54.0, 54.0, 54.0]}",Test optimality
