attempt_id,timestamp,dataset,instance,solver,seed,time_limit,hyperparams,status,elapsed_time,cost,info,note
1,2026-01-18T10:34:37+00:00,Cvrplib,A-n32-k5,BEAM,,60.0,"{""n_partials"": 100, ""width"": 5, ""r_intra"": 0.55, ""r_inter"": 0.75, ""f_intra"": 0.05, ""f_inter"": 0.15}",done,2.196902275085449,303,"{""iterations"": 27}",
2,2026-01-18T10:52:25+00:00,Cvrplib,B-n31-k5,ASTAR,,60.0,"{""width"": 5, ""eps"": 0.285, ""cutoff_depth"": 10, ""cutoff_size"": 3000, ""cutoff_ratio"": 0.285}",done,1.2561650276184082,241,"{""iterations"": 3721, ""found_complete"": true}",
3,2026-01-18T10:54:46+00:00,Cvrplib,A-n32-k5,MCTS,,60.0,"{""width"": 3, ""uct_c"": 0.24, ""cutoff_depth"": 9, ""cutoff_depth_inc"": 3, ""cutoff_iter"": 900, ""reward_pow"": 1.69}",done,0.1970987319946289,338,"{""iterations"": 523, ""best_rollout_cost"": 398, ""used_best_rollout"": true}",
4,2026-01-18T10:57:14+00:00,Cvrplib,A-n32-k5,BEAM,,60.0,"{""n_partials"": 100, ""width"": 5, ""r_intra"": 0.55, ""r_inter"": 0.75, ""f_intra"": 0.05, ""f_inter"": 0.15}",done,2.1992156505584717,294,"{""iterations"": 27}",
5,2026-01-18T11:01:26+00:00,Cvrplib,A-n32-k5,GREEDY,,60.0,"{""num_actions"": 7, ""t_actions"": 0.01, ""destroy_proba"": 0.53, ""destroy_steps"": 13, ""destroy_t"": 1.3, ""rebuild_proba"": 0.29, ""rebuild_steps"": 3, ""rebuild_t"": 1.2}",done,2.63639760017395,365,"{""iterations"": 10000, ""actions_done"": 261341, ""improvements"": 14, ""actions_destroyed"": 130657, ""actions_rebuilt"": 17607, ""average_cost"": 521.5356464353565}",
6,2026-01-18T11:19:58+00:00,Cvrplib,A-n32-k5,GREEDY,,60.0,"{""num_actions"": 7, ""t_actions"": 0.01, ""destroy_proba"": 0.53, ""destroy_steps"": 13, ""destroy_t"": 1.3, ""rebuild_proba"": 0.29, ""rebuild_steps"": 3, ""rebuild_t"": 1.2}",done,2.4910197257995605,398,"{""iterations"": 10000, ""actions_done"": 249219, ""improvements"": 2, ""actions_destroyed"": 124596, ""actions_rebuilt"": 17939, ""average_cost"": 464.95570442955704}",
7,2026-01-18T11:21:13+00:00,Cvrplib,A-n32-k5,GREEDY,,60.0,"{""num_actions"": 7, ""t_actions"": 0.01, ""destroy_proba"": 0.53, ""destroy_steps"": 13, ""destroy_t"": 1.3, ""rebuild_proba"": 0.29, ""rebuild_steps"": 3, ""rebuild_t"": 1.2}",done,5.112485408782959,371,"{""iterations"": 10000, ""actions_done"": 261959, ""improvements"": 8, ""actions_destroyed"": 130966, ""actions_rebuilt"": 17712, ""average_cost"": 512.3406659334066}",
8,2026-01-18T11:26:37+00:00,Cvrplib,A-n32-k5,GREEDY,,60.0,"{""num_actions"": 7, ""t_actions"": 0.01, ""destroy_proba"": 0.53, ""destroy_steps"": 13, ""destroy_t"": 1.3, ""rebuild_proba"": 0.29, ""rebuild_steps"": 3, ""rebuild_t"": 1.2}",done,2.4861996173858643,363,"{""iterations"": 10000, ""actions_done"": 264411, ""improvements"": 10, ""actions_destroyed"": 132192, ""actions_rebuilt"": 18051, ""average_cost"": 538.5086491350864}",
9,2026-01-18T11:27:41+00:00,Cvrplib,A-n32-k5,GREEDY,,60.0,"{""num_actions"": 7, ""t_actions"": 0.01, ""destroy_proba"": 0.53, ""destroy_steps"": 13, ""destroy_t"": 1.3, ""rebuild_proba"": 0.29, ""rebuild_steps"": 3, ""rebuild_t"": 1.2}",done,2.4838573932647705,354,"{""iterations"": 10000, ""actions_done"": 262825, ""improvements"": 14, ""actions_destroyed"": 131399, ""actions_rebuilt"": 17799, ""average_cost"": 505.0740925907409}",
10,2026-01-18T11:31:02+00:00,Cvrplib,A-n32-k5,GREEDY,,60.0,"{""num_actions"": 7, ""t_actions"": 0.01, ""destroy_proba"": 0.53, ""destroy_steps"": 13, ""destroy_t"": 1.3, ""rebuild_proba"": 0.29, ""rebuild_steps"": 3, ""rebuild_t"": 1.2}",done,2.3956568241119385,365,"{""iterations"": 10000, ""actions_done"": 258799, ""improvements"": 8, ""actions_destroyed"": 129386, ""actions_rebuilt"": 17667, ""average_cost"": 511.3057694230577}",
11,2026-01-18T11:39:07+00:00,Cvrplib,A-n32-k5,GREEDY,,60.0,"{""num_actions"": 7, ""t_actions"": 0.01, ""destroy_proba"": 0.53, ""destroy_steps"": 13, ""destroy_t"": 1.3, ""rebuild_proba"": 0.29, ""rebuild_steps"": 3, ""rebuild_t"": 1.2}",done,2.5077788829803467,353,"{""iterations"": 10000, ""actions_done"": 267337, ""improvements"": 15, ""actions_destroyed"": 133655, ""actions_rebuilt"": 18078, ""average_cost"": 544.3467653234677}",
12,2026-01-18T11:39:52+00:00,Cvrplib,CMT6,GREEDY,,60.0,"{""num_actions"": 7, ""t_actions"": 0.01, ""destroy_proba"": 0.53, ""destroy_steps"": 13, ""destroy_t"": 1.3, ""rebuild_proba"": 0.29, ""rebuild_steps"": 3, ""rebuild_t"": 1.2}",done,7.117417573928833,213,"{""iterations"": 10000, ""actions_done"": 586561, ""improvements"": 9, ""actions_destroyed"": 293259, ""actions_rebuilt"": 34860, ""average_cost"": 338.1088891110889}",
13,2026-01-18T11:46:21+00:00,Cvrplib,CMT6,BEAM,,60.0,"{""n_partials"": 100, ""width"": 5, ""r_intra"": 0.55, ""r_inter"": 0.75, ""f_intra"": 0.05, ""f_inter"": 0.15}",done,2.790188789367676,184,"{""iterations"": 43}",
14,2026-01-18T11:56:32+00:00,Cvrplib,F-n72-k4,BEAM,,60.0,"{""n_partials"": 100, ""width"": 5, ""r_intra"": 0.55, ""r_inter"": 0.75, ""f_intra"": 0.05, ""f_inter"": 0.15}",done,5.851030111312866,184,"{""iterations"": 56}",
15,2026-01-18T12:48:39+00:00,Cvrplib,CMT6,MCTS,,60.0,"{""width"": 3, ""uct_c"": 0.24, ""cutoff_depth"": 9, ""cutoff_depth_inc"": 3, ""cutoff_iter"": 900, ""reward_pow"": 1.69}",done,2.724475622177124,211,"{""iterations"": 1902, ""best_rollout_cost"": 214, ""used_best_rollout"": true}",
